題號,題目,選項A,選項B,選項C,選項D,答案
1,「氣化」指的是,氣能化水，水又能化為氣,氣的升降出入運動,體內津、氣、血、精等物質各自的新代謝及相互轉化,氣能生血，血又能生氣,C
2,「相傅之官」指的是,心,腎,脾,肺,D
3,「陰損及陽」所說明的陰陽關係是,陰陽交感,陰陽互根,陰陽對立,陰陽消長,B
4,「陰虛則熱」其證候性質是,實熱證,虛熱證,假熱證,寒熱錯雜證,B
5,「陰在內，陽之守也；陽在外，陰之使也」，體現了陰陽之間的哪種關係,對立制約,互根互用,互為消長,平衡協調,B
6,「元神之府」指的是,腦,髓,骨,脈,A
7,暖氣頻作而響亮，暖氣後脘腹脹減多為,宿食內停,肝氣犯胃,胃陽虧虛,胃虛氣逆,B
8,百合固金湯的主治證候中常見,咯痰帶血,乾咳無痰,咯痰黃稠,咯痰不爽,A
9,敗毒散的組成中含有的藥物是,牛蒡、山梔,防風、白芷,柴胡、前胡,銀花、連翹,C
10,半夏瀉心湯與小柴胡湯兩方組成中均含有的藥物是,柴胡、人參、黃芩、炙甘草、生薑,半夏、黃芩、人參、大棗、炙甘草,人參、黃芩、半夏、乾薑、炙甘草,人參、生薑、半夏、炙甘草、大棗,B
11,被稱為「風藥中之潤劑」的藥物是,威靈仙,防己,蘄蛇,秦艽,D
12,被古人喻為「回光返照」、「殘燈復明」的神態指的是,失神,少神,假神,神亂,C
13,便秘的基本病機是,大腸傳導失常,脾失運化,肝氣鬱結,肺失肅降,A
14,病久必累及的臟腑是,腎,心,脾,肝,A
15,病人因生氣後，覺胸脅痞滿，噁心嘔吐，暖氣不舒，其證屬,肝氣犯胃,肝氣鬱結,肝脾不和,胃氣不降,A
16,補中益氣湯與普濟消毒飲中均含有,柴胡、升麻,黃芪、白朮,當歸、白朮,黃芩、陳皮,A
17,補中益氣湯中使用黃芪的用意是,補氣活血,補氣升陽,補氣行水,補氣生血,B
18,不屬於黃芩的功效是,瀉火,燥濕,退虛熱,止血,C
19,車前子入湯劑時，其用法是,先煎,後下,另煎,包煎,D
20,赤白相兼之濕熱痢疾，治宜選用,芍藥湯,葛根芩連湯,痛瀉要方,真人養臟湯,A
21,川芎茶調散的功用是,散寒止痛,疏風止痛,活血止痛,行氣解鬱,B
22,川芎茶調散的主治病證是,血虛頭痛,痰厥頭痛,氣虛頭痛,外風頭痛,D
23,大承氣湯配伍枳實的意義是,瀉熱通便,行氣消痞,補血調經,下氣除滿,B
24,大黃牡丹湯屬於,潤下劑,逐水劑,攻補兼施劑,寒下劑,D
25,導致患者自汗、多尿、滑精的是,氣的防禦失常,氣的氣化失常,氣的溫煦失常,氣的固攝失常,D
26,導致陰損及陽的主要機理是,陰寒壅盛，陽氣浮越於外,陰液虧損，虛熱內生,陰液虧損，累及陽氣生化不足,外感陰寒之邪，傷及陽氣,C
27,調攝精神和鍛煉身體以提高正氣抗邪能力的防病原則是,既病防變,調理陰陽,未病先防,扶正祛邪,C
28,對於高血壓合併糖尿病的患者，以下哪種藥物是優先考慮的選擇,ACEI/ARB類藥物,鈣通道阻滯劑,利尿劑,β受體阻滯劑,A
29,對於慢性腎炎患者的飲食管理，以下哪項是正確的,低蛋白、高糖、低鹽飲食,高蛋白、高糖、低鹽飲食,低蛋白、低糖、高鹽飲食,高蛋白、低糖、高鹽飲食,A
30,於脾胃虛弱導致的慢性腹瀉，最適宜選用的中藥方劑是,參苓白術散,四君子湯,補中益氣湯,附子理中丸,B
31,對於疑似心臟神經官能症的患者，以下哪項檢查最具診斷價值,心電圖超聲心動圖,冠狀動脈造影,心理評估,運動負荷試驗,D
32,二陳湯主治,濕痰咳嗽,寒痰咳嗽,燥痰咳嗽,熱痰咳嗽,A
33,飯後困倦嗜睡，少氣懶言，食量減少的臨床意義是,脾氣不足,脾陽不足,脾不統血,脾虛濕困,B
34,方藥配伍寓有「通因通用」之意的方劑是,葛根芩連湯,白頭翁湯,痛瀉要方,芍藥湯,D
35,肺癰初期，首選治療方劑是,銀翹散,麻杏石甘湯,葦莖湯,桔梗湯,C
36,甘麥大棗湯的功用是,益氣養血,潤肺止咳,養心安神，和中緩急,疏肝解鬱,D
37,肝血虧損的病機，下列不透確的是,陽氣亢逆於上，耳鳴頭暈,肝血不足，筋脈失養,肝藏血功能減退,月經量減少,A
38,乾咳無痰，口乾咽燥，聲音嘶啞，形體消瘦，午後潮熱，腰膝酸軟，舌紅脈細，證屬,肺腎陰虛證,肺陰虛證,腎陰虛證,肝腎陰虛證,A
39,葛根黃芩黃連湯中配伍黃芩的用意是,解表散寒,清熱燥濕,活血化瘀,補氣升陽,B
40,根據五行學說，下列哪個器官與「土」相配,肝,心,脾,肺,C
41,根據中醫診斷學，下列哪種症狀屬於望診中的面色,舌質,舌苔,面色,脈象,D
42,功能解毒除濕，善治梅毒的藥物是,土茯苓,茯苓,澤瀉,車前子,A
43,關於肝鬱氣滯證的治療原則，下列說法正確的是,疏肝理氣，解鬱化痰,活血化瘀,補益肝腎,溫補脾腎,C
